,Entrevistador:,Data de Preenchimento:,Número do formulário:,Sexo do responsável:,Idade do responsável:,Sexo da criança:,Idade da criança:,Quantos televisores em cores você possui?,Quantos rádio você possui?,Quantos banheiro tem a casa?,Quantos automóveis você possui?,Possui empregada mensalista?,Quantas máquina de lavar você possui?,Quantos videocassete e/ou DVD você possui?,Quantas geladeira você possui?,Quantos freezer (aparelho independente ou parte da geladeira duplex) você possui?,Grau de Instrução do chefe de família (entre parênteses nomenclatura atual) – escolha apenas uma alternativa:
154,Caio Morcelli,23/01/15 11:15 AM,29,Feminino,18,Feminino,1,1,1,1,0,0,1,0,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
155,Caio Morcelli,23/01/15 11:34 AM,30,Feminino,30,Masculino,8,1,1,1,1,0,1,2,1,0,Colegial completo / Superior incompleto (Médio completo)
156,Jacqueline Maximiano Conceicao,23/01/15 11:39 AM,61,Feminino,23,Feminino,0,1,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
157,Jacqueline Maximiano Conceicao,23/01/15 12:04 PM,62,Feminino,20,Feminino,0,1,1,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
158,Jacqueline Maximiano Conceicao,23/01/15 12:09 PM,63,Feminino,34,Feminino,2,1,1,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
159,Jacqueline Maximiano Conceicao,23/01/15 12:26 PM,64,Feminino,22,Feminino,0,1,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
160,Angelica Manfroi,23/01/15 12:29 PM,042,Feminino,43,Feminino,5,3,1,1,4 ou +,0,1,1,2,1,Colegial completo / Superior incompleto (Médio completo)
161,Angelica Manfroi,23/01/15 12:46 PM,043,Feminino,28,Feminino,5,1,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
162,Angelica Manfroi,23/01/15 01:11 PM,044,Feminino,28,Masculino,6,2,1,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
163,Angelica Manfroi,23/01/15 01:38 PM,045,Feminino,33,Masculino,1,2,0,1,0,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
164,Angelica Manfroi,23/01/15 01:57 PM,046,Feminino,40,Feminino,10,2,1,2,1,0,1,1,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
165,Angelica Manfroi,23/01/15 02:21 PM,047,Feminino,60,Masculino,11,1,0,1,1,0,0,0,2,1,Analfabeto / Primário incompleto (Analfabeto ou até 3a. Série do Fundamental) 
166,Angelica Manfroi,23/01/15 02:42 PM,048,Feminino,30,Feminino,8,2,0,1,0,0,1,0,1,1,Ginasial completo / Colegial incompleto (Fundamental completo) 
167,Anna Carolina Alves,26/01/15 10:57 AM,34,Feminino,34,Masculino,4,2,0,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
168,Anna Carolina Alves,26/01/15 11:19 AM,35,Feminino,35,Feminino,2,1,2,1,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
169,Anna Carolina Alves,26/01/15 11:30 AM,36,Feminino,31,Feminino,1,1,1,1,0,0,1,0,1,0,Colegial completo / Superior incompleto (Médio completo)
170,Caio Morcelli,26/01/15 02:11 PM,31,Feminino,26,Masculino,5,1,0,1,0,0,1,1,1,0,Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)
171,Caio Morcelli,26/01/15 02:47 PM,32,Feminino,28,Feminino,4,2,0,1,0,0,0,0,1,1,Colegial completo / Superior incompleto (Médio completo)
172,Caio Morcelli,26/01/15 03:06 PM,33,Feminino,35,Feminino,1,2,1,2,0,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
173,Caio Morcelli,26/01/15 03:27 PM,34,Feminino,46,Masculino,10,3,1,2,1,0,1,2,1,0,Ginasial completo / Colegial incompleto (Fundamental completo) 
174,Caio Morcelli,26/01/15 03:47 PM,35,Feminino,18,Feminino,3,3,0,1,1,0,1,1,1,0,Colegial completo / Superior incompleto (Médio completo)
